Tweets,Eng_source,Summary
Wildlife photography lo shi ma pada shey,You will still end up doing wildlife photography,You will continue to photograph wildlife.
E wa wo Wayray yii o  steady,Come and see this mad person is not steady,Come see; this insane person is unstable.
So what am I getting for Valentine's bayii?,So what am I getting for Valentine's now?,"So, what am I getting for Valentine's now?"
THIS IS WHY EVERYONE WHO JAPA IS NOW A CONTENT CREATOR/LIFE COACH!!  KINDLY RETWEET,THIS IS WHY EVERYONE WHO RELOCATES IS NOW A CONTENT CREATOR/LIFE COACH!! KINDLY RETWEET,Reasons why those who relocate becomes content creators or life coach.
Oga mi sir!!,My boss sir!!,My boss sir!
Ah Ah.. Wait o.. No be you Tinubu dey insult since Monday?? Kilo’n shele bayii o?? Ko ye mi mo o..,Wait... Is it not you Tinubu has been insulting since Monday?? What is happening now?? I do not understand again..,Hasn't Tinubu been insulting you since Monday? I'm not sure what's going on.
"Congratulations o, Motolani 1 of Alimosho Local Government. Serubawon of Alausa. Oluaye stop and search. Afunni ma second guess. Loke loke oga mi ","Congratulations, Motolani 1 of Alimosho Local Government. Scarer of Alausa. Oluaye stop and search. Someone that gives without second guessing. Upward and above my boss","Congratulations to Motolani of Alimosho Local Government, Scarer of Alausa, and a generous person. I wish you progress."
Pillow talk ya werey gan.,Pillow talk is really mad.,Pillow talk is insane.
Harmattan ti n fe ma do too much o.,Harmattan is starting to do too much.,Harmattan is starting to do too much.
"Small Doctor will forever be my GOAT for that ""Buhari, ye ma sun..."" line.","Small Doctor will forever be my GOAT for that ""Buhari, stop sleeping..."" line.","Small Doctor will always be my favorite for his ""Buhari, stop sleeping..."" line."
"Mancity, emi nikan tan? ","Mancity, all these for only me?","All this for just me, Mancity?"
Landlord ti gba kokoro room lowo Nketiah,The landlord has taken the room key from Nketiah,The landlord has taken Nketiah's room key.
GOOOOOOOOOOOOAAAAAAAALLLLLLLLLLLLLLLLLL OKAN YIN O NI BALEEEEEEEE,GOOOOOOOOOOOOAAAAAAAALLLLLLLLLLLLLLLLLL YOUR HEART WILL NOT BE AT REST,GOAL YOUR HEART WILL NOT BE AT REST
"Fun mi lowo, ma fun mi ni advice ","Give me money, do not give me advice",Give me money instead of advice.
"Grand prix ikorodu. Na when race don finish foga go dey roll your tyre come from far. ""E ma binu Egbon, change ni mo wa lo, e mo pe ko si cash""","Grand Prix Ikorodu. It is when the race has finished that the vulcanizer will be rolling your tire from far. ""I am sorry brother, I went to look for change, you know there is no cash""",Vulcanizers are fond of bringing your tire after the race has ended in Grand Prix Ikorodu with the excuse of going to look for change when there's no cash.
"I remember this day vividly, it was a Friday like this, Emi ni mo pull up ninu white car leyin yen. Believe you me, baddies merin ni mo shi wole lati Broad street. Convoy la wa de Jazzhole ni Ikoyi for Sunny's performance. What a night.","I remember this day vividly, it was a Friday like this, I was the one who pulled up in the white car after that. Believe me, I came in with four baddies from Broad street. We arrived in a convoy at Jazzhole in Ikoyi for Sunny's performance. What a night.",I drove in a white car with four ladies from Broad street on one Friday night. We arrived in a convoy at Jazzhole in Ikoyi for Sunny's performance.
Elon Musk! Jo ma gba ounje lenu mi,Elon Musk! Please do not take food from my mouth,Elon Musk! Please do not take food from my mouth.
Twitter down go also pay Seun Kuti tonight. Won ti fe take life big bird,Twitter down will also pay Seun Kuti tonight. They want to take life big bird,Twitter's downtime will please Seun Kuti. They want to take life big bird.
"First time Twitter down go pay me. Won pa gas eyin werey, there will be no cooking tonight ","First time Twitter down go pay me. They turned off you mad people's gas, there will be no cooking tonight",I'm relieved that Twitter is down for the first time because some crazy people won't be able to cook.
Meslier o de jo nauuuu,Meslier please now,"Meslier, please."
"Kan ba mi gbe ikan le, ka share grace ","Just help me add one more, let us share grace","Just one more, and let us share grace."
Fowosere n take owo e seriously ni period ta wa yi.,Fowosere is taking his money seriously in this period.,"In this period, Fowosere is serious about his money."
"An ode to my lover Oh! I’ve met women before Dúpé duped me Joké thought I was a joke Shadé n shade mi, iyen l’ori online but you Bisi, you were never too busy for me️","An ode to my lover Oh! I've met women before Dúpé duped me Joké thought I was a joke Shade was shading me, that's online but you Bisi, you were never too busy for me","An ode to my lover! I've met women before Dúpé duped me Joké thought I was a joke, Shade was shading me online, but you, Bisi, were never too busy for me."
“buju na my guy but je kin monetize e o baby!”,"""Buju na my guy but let me monetize you baby!""","""Buju na my guy but let me monetize you baby!"""
work carry me go facebook and i found the interface on there very complicated. legit called my mum and was like “bawo leyin elders nowadays ma n lo kini facebook yii”,"work carried me to facebook and i found the interface on there very complicated. legit called my mum and was like ""how do elders nowadays use this facebook""","I asked my mum for assistance with using Facebook because older people use the platform easily, and I find it complicated."
"Once I'm already code switching between yoruba and English... Mo ti fe sheype ni yen. And that's not good behavior... Ko wa palatable, very below me.","Once I'm already code switching between Yoruba and English... it means I want to curse. And that's not good behavior... It's not palatable, very below me.","I code-switch whenever I want to curse, an undesirable behavior beneath me."
I will be using a lot of Yoruba to tweet once BBT starts. My tweets will be code mixing and code switching. Mo lati match energy gbo gbo bathong ati Haibo energy,I will be using a lot of Yoruba to tweet once BBT starts. My tweets will be code mixing and code switching. I need to match all of bathong and Haibo energy,I intend to tweet with a code switch once BBT starts to match the show's energy.
